Date,Open,High,Low,Close,Volume,Market Cap
09-06-2021,33416.97785,37537.37115,32475.86603,37345.12149,53972919008,7.00E+11
08-06-2021,33589.52086,34017.38798,31114.44247,33472.63175,49902050442,6.27E+11
07-06-2021,35835.26551,36790.57216,33480.64124,33560.70784,33683936663,6.29E+11
06-06-2021,35538.60873,36436.42096,35304.58008,35862.37773,28913440585,6.72E+11
05-06-2021,36880.15597,37917.71415,34900.41224,35551.95873,35959473399,6.66E+11
04-06-2021,39242.48626,39242.48626,35717.7223,36894.40533,41831090187,6.91E+11
03-06-2021,37599.40994,39478.95118,37243.97373,39208.76599,35460750427,7.34E+11
02-06-2021,36699.92292,38231.33918,35966.30716,37575.17958,33070867190,7.04E+11
01-06-2021,37293.79237,37896.73619,35787.08597,36684.92452,34639423297,6.87E+11
31-05-2021,35658.59296,37468.24899,34241.94356,37332.85369,39009847639,6.99E+11
