Date,Open,High,Low,Close,Volume,Market Cap
06-06-2021,0.09646091,0.10108249,0.09406537,0.09410308,3895411.93,0
05-06-2021,0.0970433,0.10684431,0.09633429,0.09648124,5705893.44,0
04-06-2021,0.10343005,0.1056333,0.08615451,0.09705471,7362525.36,0
03-06-2021,0.10968832,0.11098979,0.09259878,0.10342154,7795340.92,0
02-06-2021,0.10365662,0.12032648,0.10246267,0.10967537,9447980.94,0
01-06-2021,0.114789,0.13988812,0.09778073,0.10364293,15162344.15,0
31-05-2021,0.17341256,0.1741235,0.10967334,0.11478246,11905296.29,0
30-05-2021,0.14132573,0.1760444,0.13905945,0.17339369,4056189.04,0
29-05-2021,0.16208094,0.17078914,0.135513,0.1413235,8503788.59,0
28-05-2021,0.19665576,0.20290144,0.15032695,0.16209847,15674358.37,0
27-05-2021,0.23552042,0.2599435,0.1755114,0.19665152,16656760.48,0
26-05-2021,0.2321355,0.28495033,0.21660806,0.23554821,40491253.22,0
25-05-2021,0.14012273,0.30018458,0.0944167,0.23210697,43988944.19,0
24-05-2021,0.13556585,0.1729491,0.10134746,0.14012331,17520635.67,0
23-05-2021,0.23149892,0.232349,0.07103817,0.13556472,11165756.39,0
22-05-2021,0.28543121,0.28882065,0.21098123,0.23153364,17782734.41,0
21-05-2021,0.39773421,0.43582484,0.2134968,0.28543121,552004.77,0
20-05-2021,0.3077935,0.43315665,0.18270144,0.39771412,738431.3,0
19-05-2021,0.48702852,0.5504361,0.1811459,0.30780067,651825.36,0
18-05-2021,0.4399102,0.65409432,0.39117947,0.48700077,912466.15,0
17-05-2021,0.25619367,0.44683598,0.2304597,0.44008157,861280.31,0
16-05-2021,0.15507247,0.39403919,0.15048551,0.25619043,927195.32,0
15-05-2021,0.14269499,0.15662002,0.13981043,0.15512177,496116.24,0
14-05-2021,0.11338503,0.14939811,0.11338503,0.14267501,489152.81,0
13-05-2021,0.1247991,0.15052137,0.11058739,0.11341282,376666.41,0
12-05-2021,0.1417799,0.16411723,0.10448798,0.12479749,430665.12,0
11-05-2021,0.11257551,0.14989879,0.11001085,0.14179263,1324623.91,0
10-05-2021,0.14587754,0.14836261,0.11006647,0.11257013,2145433.46,0
09-05-2021,0.12870255,0.16004168,0.10718997,0.14587237,6148296.98,0
08-05-2021,0.13299703,0.15077609,0.11005636,0.12871358,3283654.58,0
07-05-2021,0.14537077,0.18617379,0.10784372,0.13302724,8379865.18,0
06-05-2021,0.17201522,0.1931845,0.12634912,0.14366878,4545936.03,0
05-05-2021,0.150032,0.19047039,0.13649469,0.1719778,4434872.73,0
04-05-2021,0.11769965,0.17217949,0.11372988,0.14992139,4794592.36,0
03-05-2021,0.18033021,0.19204346,0.10782901,0.11816365,6865081.28,0
02-05-2021,0.14112981,0.20814107,0.12801186,0.18021975,9276202,0
01-05-2021,0.07305449,0.22694239,0.07280648,0.14134039,19290619.83,0
