Date,Open,High,Low,Close,Volume,Market Cap
09-06-2021,9e-08,1.1e-07,9e-08,1.1e-07,5218894.03,52608704.6
08-06-2021,1e-07,1.1e-07,8e-08,9e-08,5622724.3,45162910.73
07-06-2021,1.3e-07,1.3e-07,1e-07,1e-07,4011380.91,49449726.28
06-06-2021,1.2e-07,1.3e-07,1.2e-07,1.3e-07,4000762.69,62136458.76
05-06-2021,1.3e-07,1.4e-07,1.2e-07,1.2e-07,4536566.8,60630316.11
04-06-2021,1.4e-07,1.5e-07,1.2e-07,1.3e-07,6212760.77,64885509.65
03-06-2021,1.5e-07,1.7e-07,1.4e-07,1.4e-07,7724459.16,70524384.16
02-06-2021,1.4e-07,1.6e-07,1.3e-07,1.5e-07,10248585.85,73047991.27
01-06-2021,1.6e-07,1.6e-07,1.3e-07,1.4e-07,8855594.76,67276630.5
31-05-2021,1.7e-07,1.7e-07,1.5e-07,1.6e-07,8809745.87,75580644.36
30-05-2021,1.8e-07,1.9e-07,1.6e-07,1.7e-07,7897782.5,81330865.37
29-05-2021,1.6e-07,2.2e-07,1.6e-07,1.8e-07,13989831.65,87109616.78
28-05-2021,2e-07,2e-07,1.6e-07,1.6e-07,13640608.39,80024961.4
27-05-2021,1.8e-07,2.2e-07,1.6e-07,2e-07,18080560.4,95437735.43
26-05-2021,2e-07,2.1e-07,1.7e-07,1.8e-07,10438514.35,86669669.12
25-05-2021,2.3e-07,2.4e-07,1.8e-07,2e-07,11557037.35,97524656.89
24-05-2021,1.9e-07,2.6e-07,1.7e-07,2.3e-07,15407289.52,110386583.61
23-05-2021,2.8e-07,2.8e-07,1.7e-07,1.9e-07,17897810.11,93523651.77
22-05-2021,3e-07,3.1e-07,2.4e-07,2.8e-07,16480898.67,134492821.32
21-05-2021,3.9e-07,4.3e-07,2.4e-07,3e-07,39452408.21,146941334.63
20-05-2021,2.4e-07,4.4e-07,1.9e-07,3.9e-07,36555178.56,189899881.83
19-05-2021,4.4e-07,4.4e-07,2.1e-07,2.4e-07,27140636.14,114647862.98
18-05-2021,3.9e-07,4.9e-07,3.9e-07,4.4e-07,27613658.5,215561099.81
17-05-2021,5.4e-07,5.4e-07,3.6e-07,3.9e-07,33964140.76,190242772.54
16-05-2021,5.7e-07,6.4e-07,4.5e-07,5.4e-07,39393351.55,263405187.29
15-05-2021,8.4e-07,8.9e-07,5.4e-07,5.8e-07,52944540.5,280451112.97
14-05-2021,5.9e-07,8.8e-07,5.9e-07,8.4e-07,104618436.91,408076066.19
13-05-2021,5.6e-07,8.3e-07,4.1e-07,5.9e-07,99607876.64,286787122.65
12-05-2021,2.27e-06,2.28e-06,1.8e-07,5.6e-07,331555663.64,273920731.37
11-05-2021,7.5e-07,2.32e-06,5.5e-07,2.26e-06,228067563.72,1101800623.96
10-05-2021,3.8e-07,8.2e-07,3.7e-07,7.3e-07,43631428.21,0
09-05-2021,4.6e-07,6.2e-07,3e-07,3.8e-07,47400336.17,0
08-05-2021,2.6e-07,5.2e-07,2.5e-07,4.6e-07,43586677.72,0
07-05-2021,3.2e-07,3.4e-07,2.1e-07,2.6e-07,17266839.14,0
06-05-2021,3e-07,3.5e-07,2.8e-07,3.2e-07,12066365.06,0
05-05-2021,1.9e-07,3.3e-07,1.9e-07,3e-07,19738773.63,0
04-05-2021,1.8e-07,2e-07,1.7e-07,1.9e-07,4409333.81,0
03-05-2021,1.7e-07,2.1e-07,1.6e-07,1.8e-07,9215426.85,0
02-05-2021,2.8e-07,2.8e-07,1.3e-07,1.7e-07,19500753.9,0
01-05-2021,2.2e-07,3.1e-07,2.1e-07,2.8e-07,12133358.32,0
30-04-2021,2.8e-07,2.9e-07,2e-07,2.2e-07,16929069.67,0
29-04-2021,2.6e-07,3.6e-07,2.2e-07,2.8e-07,42143816.09,0
28-04-2021,2.4e-07,4.3e-07,2.3e-07,2.6e-07,84851089.34,0
27-04-2021,1.1e-07,2.6e-07,1.1e-07,2.4e-07,37492591.63,0
26-04-2021,7e-08,1.6e-07,6e-08,1.1e-07,30621744.68,0
25-04-2021,1e-07,1.1e-07,5e-08,7e-08,14962631.12,0
24-04-2021,5e-08,1.4e-07,4e-08,1e-07,51157782.85,0
23-04-2021,0,1.8e-07,0,5e-08,523816.78,0
