Date,Open,High,Low,Close,Volume,Market Cap
09-06-2021,1.5e-07,1.6e-07,1.5e-07,1.6e-07,151194.32,0
08-06-2021,1.7e-07,1.8e-07,1.5e-07,1.5e-07,298278.23,0
07-06-2021,2.2e-07,2.4e-07,1.7e-07,1.7e-07,360158.06,0
06-06-2021,1.8e-07,2.4e-07,1.8e-07,2.2e-07,291848.27,0
05-06-2021,1.9e-07,2.1e-07,1.7e-07,1.8e-07,281012.01,0
04-06-2021,2.3e-07,2.6e-07,1.8e-07,1.9e-07,484983.98,0
03-06-2021,1.9e-07,2.6e-07,1.8e-07,2.3e-07,508552.72,0
02-06-2021,1.6e-07,1.9e-07,1.5e-07,1.9e-07,465759.99,0
01-06-2021,1.6e-07,1.8e-07,1.5e-07,1.6e-07,256518.39,0
31-05-2021,1.5e-07,1.7e-07,1.4e-07,1.6e-07,292525.18,0
30-05-2021,1.4e-07,1.5e-07,1.3e-07,1.5e-07,319476.54,0
29-05-2021,1.6e-07,1.7e-07,1.3e-07,1.4e-07,303483.26,0
28-05-2021,1.9e-07,1.9e-07,1.5e-07,1.6e-07,471045.04,0
27-05-2021,2e-07,2e-07,1.8e-07,1.9e-07,289938.47,0
26-05-2021,1.9e-07,2.3e-07,1.9e-07,2e-07,467436.67,0
25-05-2021,2.7e-07,2.9e-07,1.7e-07,1.9e-07,529762.62,0
24-05-2021,1.6e-07,2.7e-07,1.5e-07,2.7e-07,661996.13,0
23-05-2021,1.8e-07,2.1e-07,1.2e-07,1.6e-07,552629.58,0
22-05-2021,2.2e-07,2.3e-07,1.7e-07,1.8e-07,538274.76,0
21-05-2021,2.2e-07,3.1e-07,1.8e-07,2.2e-07,1094465.09,0
20-05-2021,2.2e-07,2.5e-07,1.8e-07,2.2e-07,834526.62,0
19-05-2021,2.9e-07,3.4e-07,1.4e-07,2.2e-07,2564003.13,0
18-05-2021,2.6e-07,3e-07,2.6e-07,2.9e-07,752470.74,0
17-05-2021,3.3e-07,3.7e-07,2.3e-07,2.6e-07,2242335.7,0
16-05-2021,3.8e-07,4.2e-07,2.7e-07,3.3e-07,2708891.71,0
15-05-2021,5e-07,6e-07,3.7e-07,3.8e-07,2887887.08,0
14-05-2021,5.1e-07,5.4e-07,4.9e-07,5e-07,1607029.53,0
13-05-2021,5.8e-07,6.2e-07,4.2e-07,5.1e-07,5806691.27,0
12-05-2021,7.9e-07,9.4e-07,5.8e-07,5.8e-07,7104245.75,0
11-05-2021,7.6e-07,8.8e-07,7e-07,7.8e-07,10964935.18,0
10-05-2021,8.1e-07,8.6e-07,6.5e-07,7.6e-07,19361476.7,0
09-05-2021,5.8e-07,8.1e-07,5.7e-07,8.1e-07,7648686.5,0
08-05-2021,5.8e-07,5.9e-07,5.3e-07,5.7e-07,4841675.3,0
07-05-2021,5.5e-07,6.3e-07,5.4e-07,5.8e-07,4673471.9,0
06-05-2021,4.1e-07,5.6e-07,3.9e-07,5.5e-07,4539465.11,0
05-05-2021,3.9e-07,4.2e-07,3.9e-07,4.1e-07,3006338.34,0
04-05-2021,4.9e-07,4.9e-07,3.9e-07,3.9e-07,2544927.32,0
03-05-2021,5.1e-07,5.2e-07,4.7e-07,4.9e-07,3671819.67,0
02-05-2021,5.2e-07,5.3e-07,4.8e-07,5.1e-07,3499802.97,0
01-05-2021,6.2e-07,6.2e-07,5.1e-07,5.2e-07,4918703.56,0
30-04-2021,4.4e-07,6.2e-07,4.1e-07,6.2e-07,4793365.13,0
29-04-2021,3.7e-07,4.5e-07,3.6e-07,4.4e-07,4001113.44,0
28-04-2021,4.2e-07,4.3e-07,3.7e-07,3.7e-07,4698041.08,0
27-04-2021,4.5e-07,5.2e-07,4.2e-07,4.2e-07,6857642.57,0
26-04-2021,5.6e-07,5.7e-07,4.3e-07,4.5e-07,10221500.13,0
25-04-2021,6.9e-07,7e-07,3.8e-07,5.6e-07,14772652.24,0
24-04-2021,5.5e-07,7.1e-07,4.9e-07,6.9e-07,9567300.99,0
23-04-2021,7.1e-07,7.4e-07,5.1e-07,5.5e-07,12979930.09,0
22-04-2021,5.8e-07,9.4e-07,5.7e-07,7.1e-07,27991412.3,0
21-04-2021,7.8e-07,1.09e-06,5.7e-07,5.8e-07,11729296,0
20-04-2021,3.4e-07,7.8e-07,3.3e-07,7.8e-07,5578568.18,0
19-04-2021,2.1e-07,3.4e-07,2.1e-07,3.4e-07,3437523.83,0
18-04-2021,2.6e-07,2.7e-07,2e-07,2.1e-07,4099581.53,0
17-04-2021,1.6e-07,2.7e-07,1.5e-07,2.7e-07,5559601.23,0
16-04-2021,1.8e-07,1.8e-07,1.6e-07,1.6e-07,5807974.64,0
15-04-2021,1.7e-07,1.8e-07,1.7e-07,1.8e-07,5595606.95,0
14-04-2021,1.9e-07,1.9e-07,1.1e-07,1.7e-07,5466775.3,0
13-04-2021,2.1e-07,2.1e-07,1.9e-07,1.9e-07,9807204.54,0
12-04-2021,1.9e-07,2.2e-07,1.8e-07,2.1e-07,18509935.54,0
11-04-2021,2.6e-07,2.6e-07,1.8e-07,1.9e-07,17717983.73,0
10-04-2021,1.6e-07,2.6e-07,1.5e-07,2.6e-07,20030284.72,0
09-04-2021,8e-08,1.6e-07,8e-08,1.6e-07,11730537.3,0
08-04-2021,8e-08,9e-08,8e-08,8e-08,5482591.76,0
